x y z
42.78275 127.6228 1464
-27.39691 90.78732 2553
-1.16289 84.896 2158
-18.61823 76.45199 2455
96.46549 64.58058 1756
108.5624 82.92325 1702
88.36356 56.45348 1805
90.04213 39.2582 1797
93.17269 33.05852 1714
97.61099 56.27887 1466
90.62946 35.08169 1729
92.55262 41.75238 1638
99.48996 59.15785 1736
-24.06744 184.7664 1476
-26.06285 114.0748 2200
56.27842 26.84826 1999
73.03881 18.8814 1680
80.26679 12.61593 1806
80.23009 14.61795 1682
68.83845 107.7742 1306
76.39921 95.9938 1722
64.46148 110.3964 1437
43.39657 53.61499 1828
39.07769 61.99805 2118
112.8045 45.54766 1725
54.25899 147.8199 1606
6.13202 48.32772 2648
-3.80469 40.4045 2560
-2.23054 29.91113 2544
-2.36177 33.82002 2386
-2.1889 33.68207 2400
63.22428 79.49924 1757
-10.7786 175.1135 1402
-18.98889 171.9169 1364
-38.57884 158.5274 1735
83.14496 159.1156 1376
-21.80248 15.02551 2729
-23.56457 9.41441 2766
-20.11299 22.09269 2736
-16.62654 17.25621 2432
29.90748 175.1288 1024
100.9157 22.97808 1611
101.2954 22.96385 1548
103.2663 20.34239 1591
-14.31073 31.26545 2540
-18.13447 30.18118 2352
-18.12151 29.53241 2528
-9.88796 38.14483 2575
-12.16336 39.11081 2468
11.65754 18.73347 2646
61.69122 32.49406 1739
69.57896 33.80841 1674
66.72205 33.93264 1868
-36.65446 150.9146 1865
-19.55102 137.7840 1777
-21.29791 131.8254 1579
-22.36166 137.1368 1771
21.14719 139.262 1408
7.68461 126.8375 1527
-8.33227 107.7769 2003
56.70724 171.2644 1386
59.00055 164.5486 1089
68.96893 177.2482 1384
70.90225 161.3814 1030
73.00243 162.9896 1092
59.66237 170.1054 1161
61.87429 174.3018 1415
63.7081 173.9145 1231
5.62706 79.0873 2300
18.24739 77.39191 2238
85.68824 139.817 1038
105.0765 132.0318 1332
-101.6428 10.65106 3510
-145.2365 28.02333 3490
-73.99313 87.9727 2594
-94.48182 86.62606 2650
-88.84983 76.70991 2533
-120.2590 80.76485 3571
-86.02454 54.36334 2811
-72.79097 43.09215 2728
-100.1737 42.89881 3136
-78.83539 40.82141 2553
-83.69063 46.50482 2798
-95.61661 35.82183 2691
-87.5548 29.39267 2946
