x	y	biomass	clay1	elev
1800	1800	0	22.2	4910
1800	1600	2.56	19.8	4930
1200	1600	0	25.3	4975
1200	1200	0	22	4950
600	1600	4.56	23.9	4828
1600	1400	0	18.5	5038
1000	800	0	27.9	4880
1800	1400	0	23.8	4950
1400	1200	0	22.4	4900
800	1200	0	20	4878
800	1400	0	30.2	4910
1600	1000	0.63	23.3	5000
1000	1200	0	17.6	4850
1400	1000	0	19.8	4938
1800	1000	0	22.3	4970
1800	1200	0	24.8	4970
400	1600	0	26.2	4875
1200	1000	0	21.3	4890
600	1400	0	20.8	4825
1000	400	0	22.1	4938
1600	1200	0	28.9	5025
1000	1000	0	36.6	4862
1600	200	1.63	16.6	4925
1600	800	0	24.8	4982
1800	600	0	25	5015
1800	800	0	19.8	4950
400	1400	0.56	21.2	4880
800	400	3.13	17.4	4850
0	1600	0	19.7	4850
1600	1600	6.69	20	5012
200	1600	7.06	23.4	4820
1600	600	0	25.8	4950
200	1400	0	36	4830
1200	1400	0	21.2	4980
1000	600	1.19	29.2	4890
1400	1400	0	24.4	4980
1400	1600	13.25	19.5	4875
1000	1400	0	20	4835
800	1600	0	22.1	4920
1800	400	0	18.4	5050
600	1200	0	33	4830
1000	1600	0	21.2	4860
600	800	17.69	15	4850
1400	800	4.19	23.4	4962
200	1200	23.44	22.6	4812
1400	200	19.31	17.2	4962
1600	400	0	35.6	4938
1200	600	16	17.7	4880
1400	400	5.69	23.6	4990
1400	600	0	36	4965
1200	800	0	40.8	4880
400	1200	0	26	4848
800	800	12.75	11.3	4850
0	400	0	25	4805
0	0	12.94	30	4800
1800	200	1.31	24.3	4942
0	1200	0	40.4	4850
0	1400	5.25	27.2	4860
0	1000	36	27.4	4845
600	400	0	30.7	4875
200	0	11.06	14	4875
1200	0	10.13	20.8	4850
800	1000	12.56	13.4	4870
0	1800	0	21.8	4860
1600	1800	2.19	21.1	4985
1200	400	1.38	20.3	4850
1200	200	0	38.3	4838
1400	1800	0	24.7	4862
600	1000	0	51.2	4860
0	200	0	26	4810
1800	0	0	43.9	4975
1000	0	0	33.4	4938
800	600	0	25.5	4862
200	200	0	20.3	4888
1200	1800	0	44.4	4875
400	400	0	39.9	4830
1000	200	0	42.5	4950
400	0	0	32.6	4800
200	1800	0	22.2	4800
1400	0	0	41.6	4950
400	200	0	30.4	4825
0	600	0	37.4	4825
400	800	0	42	4830
1600	0	0	41.2	4880
200	1000	26.19	26	4838
400	1000	7	42.7	4825
400	600	10.63	36.4	4845
800	0	7.88	32.2	4835
0	800	4.31	33.2	4825
200	800	0	25	4860
200	400	18.44	22.2	4847
400	1800	1.31	20	4888
600	600	0	38	4862
600	0	0	33.2	4900
200	600	0	19.8	4838
600	1800	4.56	23.8	4815
1000	1800	30	19.9	4838
800	200	0	45.1	4825
600	200	0	41.3	4900
800	1800	5.31	18.6	4925
