x	y	zinc	n.ordine
178605	330406	553	1
178701	330557	577	2
178786	329822	783	3
178803	330349	332	4
178810	330666	560	5
178875	330311	342	6
178875	330516	420	7
178912	330779	1136	8
178953	330742	505	9
178981	330924	1383	10
179007	330727	685	11
179022	330873	545	12
179024	329733	601	13
179029	330394	400	14
179030	330082	214	15
179032	330645	549	16
179034	330561	451	17
179058	330510	539	18
179065	330864	793	19
179076	331005	1161	20
179085	330292	496	21
179085	330433	296	22
179095	330636	680	23
179110	330758	593	24
179120	330578	206	25
179128	330867	676	26
179135	329890	258	27
179140	330955	703	28
179180	330710	198	29
179184	330182	166	30
179206	330398	187	31
179211	331175	765	32
179236	330046	189	33
179245	329714	612	34
179255	331264	784	35
179293	330797	186	36
179301	330179	224	37
179334	331366	801	38
179337	329870	471	39
179405	330567	180	40
179414	331494	643	41
179445	329807	403	42
179446	331422	191	43
179456	330072	154	44
179462	330766	226	45
179466	330381	162	46
179470	331125	1060	47
179474	331304	241	48
179489	331633	659	49
179495	331770	761	50
179524	331565	232	51
179526	331936	907	52
179547	330245	155	53
179550	329940	169	54
179559	331423	317	55
179604	332059	1190	56
179618	330458	199	57
179642	331955	253	58
179644	331730	203	59
179657	331150	140	60
179687	332161	933	61
179692	330933	119	62
179717	331441	166	63
179731	331245	128	64
179774	330921	221	65
179782	330540	157	66
179792	332035	432	67
179797	331919	139	68
179822	331242	158	69
179826	332217	1528	70
179849	332142	703	71
179852	330801	778	72
179881	330912	240	73
179902	332113	550	74
179917	331325	141	75
179973	332255	1839	76
179980	330773	203	77
179991	331069	129	78
180029	331720	198	79
180067	331185	143	80
180100	332213	1571	81
180103	332297	1548	82
180107	332101	262	83
180114	330803	192	84
180135	331552	222	85
180151	330353	1672	86
180162	331387	136	87
180162	331837	210	88
180173	331923	210	89
180199	331591	375	90
180201	331160	126	91
180237	332351	812	92
180265	332297	832	93
180270	331707	282	94
180276	330963	130	95
180282	331861	365	96
180283	332014	464	97
180292	332157	746	98
180321	330366	722	99
180328	331158	113	100
180347	331700	152	101
180355	332299	746	102
180383	332476	1454	103
180410	332031	258	104
180451	331473	117	105
180451	332175	176	106
180462	331947	142	107
180467	331694	133	108
180478	331822	119	109
180478	332578	906	110
180494	332330	298	111
180530	332538	833	112
180555	332707	1052	113
180561	332193	167	114
180625	332847	735	115
180627	330190	375	116
180632	332445	569	117
180642	332708	673	118
180694	332972	711	119
180700	332882	474	120
180704	332664	343	121
180704	332717	402	122
180710	332330	321	123
180763	333104	606	124
180829	332450	250	125
180830	333246	1032	126
180862	333116	415	127
180874	333339	1096	128
180878	332489	198	129
180916	332753	240	130
180923	332874	220	131
180954	332399	192	132
180956	332318	213	133
180969	333252	504	134
180973	332687	180	135
181008	332777	207	136
181011	333161	326	137
181025	333558	1141	138
181027	333363	406	139
181032	333031	251	140
181060	333231	347	141
181072	333611	1022	142
181118	333214	279	143
181133	332570	208	144
181147	332823	200	145
181153	332925	218	146
181165	333370	346	147
181165	333537	640	148
181167	332778	194	149
181191	333115	189	150
181232	333168	183	151
181298	333484	257	152
181307	333330	269	153
181352	332946	180	154
181390	333260	281	155
