       x     y       matter   
       3    180     13.80
       3    156     12.80
       3    132      9.70
       3    108     10.00
       3     84     10.50
       3     60     14.80
       3     36     10.10
       3     12      9.50
      12    180     12.80
      12    156     14.70
      12    132     13.10
      12    108     12.00
      12     84     11.50
      12     60     11.20
      12     36     10.70
      12     12     10.50
      21    180     11.20
      21    156     11.20
      21    132     12.30
      21    108     13.10
      21     84     12.80
      21     60     12.70
      21     36     12.00
      21     12      9.50
      30    180     10.70
      30    156     10.70
      30    132     10.60
      30    108     12.00
      30     84     15.00
      30     60     13.00
      30     36     15.20
      30     12     10.00
      39    180     13.40
      39    156     12.40
      39    132     12.70
      39    108      6.50
      39     84     12.30
      39     60     12.80
      39     36     13.80
      39     12     11.20
      48    180     12.30
      48    156     11.90
      48    132     12.70
      48    108     13.20
      48     84     10.50
      48     60     12.30
      48     36     14.40
      48     12     10.50
      57    180     13.10
      57    156     12.00
      57    132     12.00
      57    108     14.60
      57     84     12.80
      57     60     14.80
      57     36     15.20
      57     12     12.00
      66    180     12.40
      66    156     14.80
      66    132     14.60
      66    108     15.40
      66     84     12.80
      66     60     15.60
      66     36     17.60
      66     12     12.00
      75    180     12.80
      75    156     13.20
      75    132     15.80
      75    108     13.60
      75     84     14.40
      75     60     14.60
      75     36     14.60
      75     12     11.60
      84    180     17.60
      84    156     16.80
      84    132     14.40
      84    108     14.20
      84     84     15.20
      84     60     17.60
      84     36     15.20
      84     12     13.60
      93    180     17.00
      93    156     16.80
      93    132     18.80
      93    108     20.10
      93     84     18.00
      93     60     14.40
      93     36     12.70
      93     12     11.50
     102    180     14.40
     102    156     14.80
     102    132     16.40
     102    108     17.60
     102     84     20.10
     102     60     15.60
     102     36     12.60
     102     12     11.20
     111    180     16.80
     111    156     17.60
     111    132     11.60
     111    108     16.80
     111     84     18.40
     111     60     15.40
     111     36     14.80
     111     12     11.10
