x y z
0.8431527 0.436359 0.3600066
0.5749091 0.006427026 2.153737
0.1531976 0.7331699 -0.3046547
0.3460321 0.5489301 -0.02030571
0.2313936 0.4251527 0.769173
0.2405438 0.3243906 -0.882227
0.6371874 0.4879278 0.8032156
0.9142293 0.9140707 -0.5400873
0.9770202 0.2517907 1.657651
0.41374 0.7655868 -0.2803863
0.6174594 0.8403584 -0.8371919
0.6278131 0.2308200 1.076549
0.7681075 0.6476255 0.2187141
0.1293302 0.7546283 0.1665915
0.1992058 0.03827533 -0.743247
0.4268279 0.1939523 1.621397
0.1783463 0.7602088 0.09619106
0.4669765 0.2437517 1.247944
0.3194089 0.3969519 0.9029384
0.050109 0.691425 -1.515584
0.1276155 0.3856764 0.3404085
0.6147386 0.07245145 0.315131
0.05622333 0.5746787 -1.585043
0.4991864 0.2569047 0.8879104
0.07019307 0.5483631 -0.4912086
0.1515839 0.2847008 0.8048698
0.8305829 0.3276758 -0.5827767
0.8590847 0.6906617 -0.5405005
0.4208571 0.1414836 1.424843
0.9866377 0.7449632 0.549294
0.08389774 0.1119912 0.3904722
0.990316 0.3660882 -0.05869193
0.8424526 0.4384135 0.3400335
0.6395981 0.4260327 0.957397
0.3818975 0.9799719 -0.5277153
0.7099852 0.5741668 0.2524543
0.3254312 0.5893597 -0.5696394
0.007542253 0.2062147 0.8245382
0.8500572 0.6092264 0.511705
0.5722011 0.4596789 0.5942267
0.7468883 0.9216157 -1.228618
0.9959374 0.466433 0.2144015
0.8060423 0.9951084 -0.2549715
0.6949848 0.1863176 1.182467
0.05225736 0.2488785 -0.4443717
0.8778921 0.6115526 -0.01468228
0.5197782 0.2272707 1.118482
0.07162934 0.08273999 0.5760003
0.1888152 0.6901978 -0.3904531
0.2406969 0.5161504 -0.5297307
0.2541840 0.7094394 0.2825062
0.9497795 0.09348506 0.4001843
0.1190255 0.0901068 -0.3552369
0.5327289 0.07607633 1.209300
0.002200603 0.1001672 0.95118
0.531231 0.8095766 0.01590566
0.6542869 0.0613728 1.063511
0.4367368 0.2756271 1.012923
0.5373746 0.4121768 -0.09678512
0.2325848 0.6833732 -0.7301892
0.348457 0.5483197 -0.005577841
0.9684227 0.8329736 0.3011037
0.5050565 0.08281927 1.627693
0.7641143 0.8523745 -1.381477
0.2653191 0.3581956 0.3769787
0.4755114 0.2152284 0.9143455
0.2656718 0.8632108 -1.212371
0.8511762 0.9454332 -0.6457868
0.8972667 0.6934592 -0.9110544
0.3802134 0.7206613 0.4620803
0.2399967 0.3727056 0.3914237
0.4134611 0.6021021 0.0973896
0.04785169 0.1178753 0.8277163
0.2576534 0.02894340 -0.5826196
0.8921867 0.6042226 -0.2918979
0.1993730 0.3341531 -0.3532074
0.06228528 0.6143269 -0.3925633
0.2134429 0.941975 -1.133458
0.6963259 0.06596614 0.8336799
0.3589601 0.1450772 1.060949
0.3323064 0.9565755 -0.815182
0.2196106 0.6470381 0.4559007
0.745937 0.7281475 -0.1914996
0.2586004 0.7565865 0.8846384
0.2603131 0.2887843 0.3980998
0.1648471 0.06041447 0.1244758
0.1426202 0.443411 0.7833096
0.1919003 0.2791152 0.4635624
0.2293818 0.807073 -0.1926607
0.6921205 0.6495674 0.3097977
0.6757369 0.28477 0.4088454
0.6551382 0.6411756 -0.04631548
0.1079773 0.7339426 -0.8246218
0.956555 0.1120966 0.811211
0.4979163 0.3085864 1.423146
0.757586 0.9014875 -1.241835
0.3896608 0.7663284 0.2595355
0.3404481 0.8478455 -2.431817
0.9033833 0.2054152 0.5260764
0.2970822 0.4217287 0.6680352
0.01481148 0.7717339 -0.2852060
0.3467004 0.2693903 0.2928553
0.97383 0.09509989 0.7182434
0.1962412 0.6367056 0.3794221
0.9032848 0.345015 0.9210855
0.2670141 0.7093017 0.4981465
0.7334713 0.9200174 -0.8859058
0.4138724 0.3765184 0.4849491
0.55698 0.7401022 0.08641884
0.0909875 0.8600868 -1.073482
0.4913525 0.6005579 0.06873594
0.7053971 0.4184893 0.9869535
0.5924081 0.4049813 0.6250667
0.1006632 0.5077495 0.03732482
0.7162189 0.7282446 -0.01167483
0.8845757 0.626721 -0.3980433
0.9710718 0.2152460 1.555623
0.9612667 0.578794 0.1937227
0.2923692 0.08093629 0.5643054
0.7398853 0.3244288 0.3275702
0.915184 0.4219513 0.6475373
0.5733852 0.3003899 1.301859
0.7836047 0.1533992 -0.2835171
0.2264321 0.08860272 -0.9283965
0.1541895 0.2637564 0.4225719
0.816089 0.5560348 0.2871464
0.963476 0.03196559 -0.3374001
0.9997431 0.543621 -0.09206754
0.9537525 0.7220427 -0.5217673
0.7702693 0.05735864 0.9213481
0.4156992 0.867378 -0.3670063
0.2700049 0.856269 -1.322438
0.02245043 0.64682 -0.8734822
0.946617 0.2100309 1.632316
0.2191563 0.667178 0.3280927
0.1693974 0.9218779 0.06952933
0.2218606 0.173224 0.269164
0.5770477 0.2079073 1.360254
0.7770101 0.9898332 -0.5851262
0.5363491 0.8611216 -0.2880435
0.6296941 0.1003751 0.2776107
0.1069240 0.1498584 -0.3239209
0.01914044 0.1040797 1.05101
0.4444548 0.2613568 1.125404
0.6147918 0.0007303357 2.092546
0.9272585 0.6602347 -0.02284728
0.7076365 0.1373157 -0.5884066
0.7613372 0.7278988 -0.8353451
0.7129936 0.4434171 0.158983
0.6675974 0.6556501 0.07337739
